Temperature,Humidity,Light,CO2,HumidityRatio,Week_day,Occupancy
0.7428975,0.314074332,1.509363141,0.930527184,0.814063358,1,1
0.772290797,0.280341614,1.509363141,0.830666611,0.790652817,1,1
0.750245824,0.311333549,1.493353709,0.843289436,0.81511429,1,1
0.750245824,0.311333549,1.517367857,0.862644435,0.81511429,1,1
0.772290797,0.314074332,1.509363141,0.849741103,0.831554404,1,1
0.7428975,0.346120416,1.509363141,0.878913853,0.852849898,1,1
0.772290797,0.330308204,1.493353709,0.892939215,0.851237716,1,1
0.772290797,0.379853134,1.509363141,0.893500231,0.911317866,1,1
0.772290797,0.360667651,1.493353709,0.904720518,0.888052346,1,1
0.772290797,0.397562812,1.509363141,0.92267298,0.932796049,1,1
0.772290797,0.413164195,1.51136432,0.991397251,0.951716587,1,1
0.772290797,0.425813965,1.530575638,0.995604859,0.967056801,1,1
0.772290797,0.380274794,1.531776345,1.037680943,0.911830148,1,1
0.772290797,0.379642306,1.530575638,0.995604859,0.911063608,1,1
0.772290797,0.406839311,1.52937493,0.992238772,0.944045539,1,1
0.79678521,0.406839311,1.512565027,0.996446381,0.958816969,1,1
0.79678521,0.399881937,1.567797566,1.003178554,0.950366197,1,1
0.870268452,0.43213885,1.567797566,1.034314856,1.034129979,1,1
0.772290797,0.41948908,1.567797566,1.030948769,0.959387636,1,1
0.804950012,0.465028251,1.558992379,1.073024853,1.034465223,1,1
0.845774038,0.463130786,1.567797566,1.074146881,1.057013171,1,1
0.870268452,0.468823182,1.567797566,1.084245141,1.07890005,1,1
0.870268452,0.474515578,1.567797566,1.123516154,1.085847876,1,1
0.870268452,0.474515578,1.51136432,1.110893329,1.085847876,1,1
0.870268452,0.480207975,1.534978231,1.121272095,1.092795703,1,1
0.870268452,0.480207975,1.509363141,1.1369805,1.092795703,1,1
0.870268452,0.505507514,1.517367857,1.167275281,1.123673887,1,1
0.870268452,0.505507514,1.541382004,1.170641367,1.123673887,1,1
0.870268452,0.499182629,1.541382004,1.190837888,1.11595387,1,1
0.870268452,0.480207975,1.541382004,1.200936148,1.092795703,1,1
0.870268452,0.499182629,1.541382004,1.173165932,1.11595387,1,1
0.870268452,0.465028251,1.541382004,1.167275281,1.074268793,1,1
0.870268452,0.463130786,1.541382004,1.142871152,1.071952223,1,1
0.870268452,0.457438389,1.541382004,1.14202963,1.065004396,1,1
0.870268452,0.456173412,1.505360783,1.147078761,1.0634619,1,1
0.870268452,0.423705671,1.493353709,1.119028039,1.023837251,1,1
0.870268452,0.41948908,1.505360783,0.988872686,1.018691829,1,0
0.870268452,0.371419955,1.493353709,0.935015299,0.960033639,1,0
0.870268452,0.311966038,1.487350172,0.75492966,0.887491095,1,0
0.870268452,0.318290923,1.505360783,0.700230752,0.895207345,1,1
0.870268452,0.296364654,1.493353709,0.655630103,0.86845567,1,1
0.870268452,0.222152673,1.469339562,0.53865859,0.777921099,1,1
0.870268452,0.221520185,1.487350172,0.435151424,0.777150792,1,1
0.870268452,0.266426867,1.469339562,0.441883598,0.831932965,1,1
0.870268452,0.227845069,1.469339562,0.490691855,0.784865159,1,1
0.870268452,0.222152673,1.487350172,0.454506423,0.777921099,1,1
0.870268452,0.228477558,1.505360783,0.421687078,0.785637349,1,1
0.870268452,0.234169954,1.469339562,0.464604683,0.792581409,1,1
0.870268452,0.191793226,1.505360783,0.482276638,0.740889879,1,1
0.870268452,0.216460277,1.469339562,0.458714031,0.770978922,1,1
0.870268452,0.220466036,1.469339562,0.451420843,0.775864437,1,1
0.870268452,0.222152673,1.469339562,0.472178378,0.777921099,1,1
0.870268452,0.13992917,1.469339562,0.266847089,0.677630566,1,1
0.870268452,0.170710277,1.469339562,0.255065786,0.715174068,1,1
0.870268452,0.153843917,1.469339562,0.255907308,0.694601796,1,1
0.870268452,0.172818571,1.469339562,0.32743665,0.717744896,1,1
0.870268452,0.179143456,1.469339562,0.305557086,0.725459263,1,1
0.870268452,0.166493686,1.469339562,0.292934261,0.710030529,1,1
0.845774038,0.166493686,1.469339562,0.237393831,0.695652728,1,1
0.870268452,0.179143456,1.469339562,0.238235353,0.725459263,1,1
0.870268452,0.113364654,1.469339562,0.201208399,0.645232487,1,1
0.870268452,0.117581245,1.469339562,0.164181445,0.650374142,1,1
0.845774038,0.126646912,1.469339562,0.193634704,0.647127177,1,1
0.870268452,0.117581245,1.469339562,0.175401734,0.650374142,1,1
0.870268452,0.107039769,1.469339562,0.145667968,0.63751812,1,1
0.870268452,0.077945299,1.469339562,0.140618838,0.602036931,1,1
0.870268452,0.113364654,1.469339562,0.135569708,0.645232487,1,1
0.870268452,0.101979861,1.469339562,0.125471448,0.631348134,1,1
0.870268452,0.100714884,1.469339562,0.112007101,0.629803754,1,1
0.870268452,0.126014423,1.469339562,0.13837478,0.660659337,1,1
0.870268452,0.119689539,1.469339562,0.142301882,0.65294497,1,1
0.870268452,0.135290922,1.39729712,0.132764636,0.671972862,1,1
0.870268452,0.212032857,1.445325415,0.150717098,0.765577359,1,1
0.870268452,0.132971797,1.469339562,0.142301882,0.66914401,1,1
0.870268452,0.126014423,1.469339562,0.149875577,0.660659337,1,1
0.870268452,0.126014423,1.469339562,0.150717098,0.660659337,1,1
0.870268452,0.13992917,1.469339562,0.164181445,0.677630566,1,1
0.870268452,0.117581245,1.433318341,0.149034055,0.650374142,1,1
0.870268452,0.109148063,1.469339562,0.128837535,0.640088948,1,1
0.870268452,0.108304746,1.42011056,0.117897753,0.639060617,1,1
0.870268452,0.126014423,1.469339562,0.1313621,0.660659337,1,1
0.870268452,0.126014423,1.469339562,0.142301882,0.660659337,1,1
0.870268452,0.119689539,1.469339562,0.135569708,0.65294497,1,1
0.870268452,0.08553516,1.469339562,0.121544347,0.611291911,1,1
0.870268452,0.077945299,1.469339562,0.110324058,0.602036931,1,1
0.870268452,0.033038616,1.469339562,0.062357323,0.547275475,1,1
0.870268452,0.017226404,1.469339562,0.022805804,0.527995209,1,1
0.870268452,0.0064741,1.469339562,0.009341457,0.514884929,1,1
0.870268452,0.052645759,1.469339562,0.002609284,0.571185114,1,1
0.870268452,0.065295529,1.409304194,0.019439717,0.586610081,1,1
0.870268452,0.061078938,1.434118813,0.011585515,0.581468425,1,1
0.870268452,0.146254055,1.512565027,0.037111672,0.685344933,1,1
0.870268452,0.06951212,1.526973515,0.049734498,0.591751736,1,1
0.870268452,0.046320874,1.512565027,0.057308193,0.563472631,1,1
0.870268452,0.058970644,1.512565027,0.043843846,0.578897598,1,1
0.870268452,0.071620414,1.512565027,0.048892976,0.594324447,1,1
0.870268452,0.101979861,1.512565027,0.080029278,0.631348134,1,1
0.870268452,0.077945299,1.526973515,0.074419133,0.602036931,1,1
0.870268452,0.077945299,1.504560311,0.049734498,0.602036931,1,1
0.845774038,0.065295529,1.512565027,0.045526889,0.572424385,1,1
0.870268452,0.046320874,1.512565027,0.064881888,0.563472631,1,1
0.870268452,0.045688386,1.500557953,0.072455583,0.562700441,1,1
0.870268452,0.034936082,1.498156539,0.044124353,0.549590162,1,1
0.870268452,0.0064741,1.495755124,-0.00412289,0.514884929,1,1
0.870268452,0.052645759,1.476543806,0.002609284,0.571185114,1,1
0.870268452,0.052645759,1.526973515,0.005975371,0.571185114,1,1
0.870268452,0.046320874,1.478945221,0.033745586,0.563472631,1,1
0.870268452,0.07731281,1.450128244,0.054783628,0.601264741,1,1
0.870268452,0.08553516,1.421311267,0.054222613,0.611291911,1,1
0.897212307,0.165861198,1.307244067,0.064040366,0.725095768,1,1
0.942118729,0.228055898,1.45813296,0.105835943,0.827753722,1,1
0.951100017,0.077945299,1.448927537,0.104433406,0.649068953,1,1
0.978043872,0.071620414,1.442924,0.138094273,0.65702816,1,1
0.924156162,0.089330091,1.442924,0.127154492,0.647300449,1,1
0.906193595,0.100714884,1.45813296,0.12827652,0.65074517,1,1
0.951100017,0.071620414,1.46573744,0.134728187,0.641316918,1,1
0.870268452,0.089330091,1.48855088,0.115373188,0.615921284,1,1
0.906193595,0.117581245,1.48855088,0.120422318,0.67136076,1,1
0.924156162,0.070987925,1.46573744,0.099384276,0.624856087,1,1
0.897212307,0.113364654,1.46573744,0.101908841,0.660958796,1,1
0.906193595,0.100714884,1.45813296,0.127154492,0.65074517,1,1
0.897212307,0.101347373,1.46573744,0.110324058,0.646279652,1,1
0.897212307,0.095654976,1.48855088,0.112007101,0.639324291,1,1
