Temperature,Humidity,Light,CO2,HumidityRatio,Week_day,Occupancy
2.204762347,0.376813667,1.566862182,0.106940068,1.207540176,1,1
2.222274949,0.384201662,1.539680009,0.145214074,1.221460869,1,1
2.233950017,0.359575013,1.516761707,0.176881258,1.209161909,1,1
2.226653099,0.316478378,1.201301928,0.194252644,1.174139032,1,1
2.257300153,0.347261689,1.180715429,0.208776263,1.211522431,1,1
2.263137686,0.371888338,1.500772193,0.246366804,1.232388727,1,1
2.233950017,0.384201662,1.371523624,0.27370538,1.227153315,1,1
2.257300153,0.384201662,1.262261948,0.270288058,1.238551312,1,1
2.257300153,0.408828311,1.130348461,0.291475455,1.256570566,1,1
2.239787551,0.425246077,1.266259327,0.311295922,1.260002415,1,1
2.248543852,0.447820505,1.152334042,0.332654185,1.280801548,1,1
2.204762347,0.495021582,1.153533256,0.362555752,1.293754116,1,1
2.204762347,0.511439348,1.127350427,0.389894328,1.305730367,1,1
2.204762347,0.552483762,1.102366812,0.435458621,1.335670177,1,1
2.204762347,0.582856629,1.08237992,0.459607696,1.357825668,1,1
2.204762347,0.63046815,1.08237992,0.488996665,1.392560237,1,1
2.204762347,0.664329792,1.046403515,0.553925783,1.417264635,1,1
2.107470115,0.63046815,1.042406136,0.591516325,1.344209665,1,1
2.146387008,0.665766347,1.05839565,0.61407065,1.389177532,1,1
2.156116231,0.696139214,1.08237992,0.623980883,1.416119593,1,1
2.146387008,0.716661421,1.118356326,0.652344656,1.426174337,1,1
2.107470115,0.74128807,1.08237992,0.683784018,1.424572261,1,1
2.107470115,0.772481825,1.219889737,0.708388736,1.447194615,1,1
2.107470115,0.794645809,1.34700637,0.722741489,1.463269428,1,1
2.107470115,0.811063575,1.360597457,0.746662743,1.475176879,1,1
2.107470115,0.815168017,1.323221969,0.793138322,1.478153332,1,1
2.131793173,0.836716334,1.220955705,0.830728863,1.506074985,1,1
2.107470115,0.835690224,1.291576057,0.837563507,1.493038874,1,1
2.107470115,0.844719995,1.231082397,0.822527291,1.499588053,1,1
2.107470115,0.88083908,1.314227868,0.845537259,1.525786411,1,1
2.107470115,0.891100184,1.3082318,0.89309499,1.533228362,1,1
2.107470115,0.921883495,1.247414543,0.890287904,1.555559132,1,1
2.107470115,0.921883495,1.179649461,0.905909947,1.555559132,1,1
2.107470115,0.897256846,1.274254084,0.938716238,1.537695499,1,1
2.107470115,0.921883495,1.270256705,0.954435919,1.555559132,1,1
2.12368549,0.935564965,1.23228161,0.96229576,1.57374875,1,1
2.172331606,0.96292791,1.240942597,0.967421743,1.61852332,1,1
2.107470115,0.96292791,1.15899634,0.99646898,1.585333492,1,1
2.107470115,0.972162903,1.160328799,1.028933538,1.59203174,1,1
2.107470115,0.999867883,1.118356326,1.035768182,1.612131399,1,1
2.107470115,1.027230827,1.10769665,1.048298364,1.631983703,1,1
2.107470115,1.005731369,1.146909029,1.067988645,1.616385581,1,1
