Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy,Week_day
23.7,26.272,585.2,749.2,0.004764163,1,1
23.718000000000004,26.29,578.4,760.4,0.004772661,1,1
23.73,26.23,572.6666667000001,769.6666667000001,0.004765153,1,1
23.7225,26.125,493.75,774.75,0.004743773,1,1
23.754,26.2,488.6,779.0,0.004766594,1,1
23.76,26.26,568.6666667000001,790.0,0.004779332,1,1
23.73,26.29,536.3333333,798.0,0.004776135999999999,1,1
23.754,26.29,509.0,797.0,0.004783094,1,1
23.754,26.35,476.0,803.2,0.0047940940000000005,1,1
23.736,26.39,510.0,809.0,0.004796189,1,1
23.745,26.445,481.5,815.25,0.004808886,1,1
23.7,26.56,481.8,824.0,0.004816793,1,1
23.7,26.6,475.25,832.0,0.004824104,1,1
23.7,26.7,469.0,845.3333332999998,0.004842381,1,1
23.7,26.774,464.0,852.4,0.004855906,1,1
23.7,26.89,464.0,861.0,0.00487711,1,1
23.7,26.9725,455.0,880.0,0.004892191,1,1
23.6,26.89,454.0,891.0,0.004847594,1,1
23.64,26.976,458.0,897.6,0.004875045,1,1
23.65,27.05,464.0,900.5,0.004891492,1,1
23.64,27.1,473.0,908.8,0.00489763,1,1
23.6,27.16,464.0,918.0,0.0048966520000000005,1,1
23.6,27.236,498.4,925.2,0.004910462,1,1
23.6,27.29,530.2,929.4,0.004920275,1,1
23.6,27.33,533.6,936.4,0.004927544,1,1
23.6,27.34,524.25,950.0,0.004929361,1,1
23.625,27.3925,498.66666669999995,961.0,0.0049464059999999995,1,1
23.6,27.39,516.3333333,963.0,0.004938448,1,1
23.6,27.412,501.2,958.6,0.004942446,1,1
23.6,27.5,522.0,965.3333332999998,0.004958439,1,1
23.6,27.525,520.5,979.25,0.004962982,1,1
23.6,27.6,505.2857143,978.4285714,0.004976614,1,1
23.6,27.6,488.33333330000005,983.0,0.004976614,1,1
23.6,27.54,512.0,992.6,0.0049657090000000004,1,1
23.6,27.6,511.0,997.2,0.004976614,1,1
23.61666667,27.63333333,501.5,999.5,0.0049877179999999995,1,1
23.66666667,27.7,503.66666669999995,1001.0,0.0050150509999999995,1,1
23.6,27.7,483.16666669999995,1009.5,0.00499479,1,1
23.6,27.7225,483.5,1019.0,0.004998879,1,1
