date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
2015-02-05 00:00:00,21.245,25.245,0.0,456.5,0.00393817695145039,0
2015-02-05 00:01:00,21.245,25.245,0.0,458.5,0.00393817695145039,0
2015-02-05 00:02:00,21.26,25.26,0.0,459.666666666667,0.0039441826315888785,0
2015-02-05 00:03:00,21.245,25.245,0.0,464.0,0.00393817695145039,0
2015-02-05 00:04:00,21.245,25.2,0.0,465.0,0.0039311126614506794,0
2015-02-05 00:05:00,21.29,25.2,0.0,461.0,0.00394204788657305,0
2015-02-05 00:06:00,21.245,25.2,0.0,458.5,0.0039311126614506794,0
2015-02-05 00:07:00,21.29,25.2,0.0,459.0,0.00394204788657305,0
2015-02-05 00:08:00,21.29,25.2,0.0,451.0,0.00394204788657305,0
2015-02-05 00:09:00,21.29,25.2,0.0,456.0,0.00394204788657305,0
2015-02-05 00:10:00,21.29,25.2,0.0,463.0,0.00394204788657305,0
2015-02-05 00:11:00,21.29,25.2,0.0,461.666666666667,0.00394204788657305,0
2015-02-05 00:12:00,21.29,25.2,0.0,458.0,0.00394204788657305,0
2015-02-05 00:13:00,21.29,25.2,0.0,450.0,0.00394204788657305,0
2015-02-05 00:14:00,21.29,25.2,0.0,457.0,0.00394204788657305,0
2015-02-05 00:15:00,21.29,25.2,0.0,456.0,0.00394204788657305,0
2015-02-05 00:16:00,21.29,25.2,0.0,456.0,0.00394204788657305,0
2015-02-05 00:17:00,21.29,25.2,0.0,461.0,0.00394204788657305,0
2015-02-05 00:18:00,21.29,25.2,0.0,463.0,0.00394204788657305,0
2015-02-05 00:19:00,21.29,25.2,0.0,460.0,0.00394204788657305,0
2015-02-05 00:20:00,21.29,25.2,0.0,456.0,0.00394204788657305,0
2015-02-05 00:21:00,21.29,25.2,0.0,454.5,0.00394204788657305,0
2015-02-05 00:22:00,21.29,25.2,0.0,448.5,0.00394204788657305,0
2015-02-05 00:23:00,21.29,25.2,0.0,453.5,0.00394204788657305,0
2015-02-05 00:24:00,21.29,25.2,0.0,454.0,0.00394204788657305,0
2015-02-05 00:25:00,21.29,25.2,0.0,454.0,0.00394204788657305,0
2015-02-05 00:26:00,21.29,25.245,0.0,450.5,0.00394913195137757,0
